,Object Name,Object Classification,Epoch (TDB),Orbit Axis (AU),Orbit Eccentricity,Orbit Inclination (deg),Perihelion Argument (deg),Node Longitude (deg),Mean Anomoly (deg),Perihelion Distance (AU),Aphelion Distance (AU),Orbital Period (yr),Minimum Orbit Intersection Distance (AU),Orbital Reference,Asteroid Magnitude
0,54509 YORP,Apollo Asteroid,52718,1.0001,0.2299,1.8331,274.1013,281.8867,314.1326,0.7701,1.23,1.0,0.0027,84,22.7
2,256004 (2006 UP),Amor Asteroid,55723,1.5868,0.3017,2.2841,334.8158,48.0175,119.1471,1.108,2.07,2.0,0.1133,56,23.0
3,293726 (2007 RQ17),Apollo Asteroid,57800,1.5798,0.3696,2.0087,302.0884,350.6146,291.7948,0.9959,2.16,1.99,0.0209,37,22.6
7,443104 (2013 XK22),Apollo Asteroid,57800,1.0458,0.2034,6.9926,265.6899,268.3842,282.2674,0.8331,1.26,1.07,0.0012,31,24.3
8,450237 (2002 XY38),Aten Asteroid,57800,0.9111,0.2173,2.1011,119.465,159.3707,266.919,0.713,1.11,0.87,0.0031,32,22.9
11,471984 (2013 UE3),Apollo Asteroid,57800,1.0253,0.2256,3.373,117.0211,49.9427,316.0965,0.7939,1.26,1.04,0.023,31,22.7
12,477719 (2010 SG15),Amor Asteroid,57800,2.0786,0.4778,0.8267,199.3631,182.3144,41.0731,1.0854,3.07,3.0,0.0889,29,25.2
15,(1990 UN),Apollo Asteroid,48191,1.709,0.5278,3.6822,97.0032,8.4663,336.2989,0.807,2.61,2.23,0.0219,11,23.5
18,(1991 VA),Apollo Asteroid,48565,1.4379,0.3566,6.5964,313.3325,37.6528,24.3139,0.9251,1.95,1.72,0.0072,11,26.5
19,(1991 XA),Apollo Asteroid,48598,2.2453,0.5638,5.2191,308.4433,77.2469,12.4256,0.9795,3.51,3.36,0.0471,11,23.7
23,(1993 BD3),Amor Asteroid,49016,1.6343,0.3749,0.8884,168.3831,314.0278,3.0203,1.0217,2.25,2.09,0.0374,11,26.2
26,(1993 HP1),Apollo Asteroid,49104,2.0007,0.5139,8.0237,151.7049,37.067,7.9329,0.9726,3.03,2.83,0.0048,11,27.1
28,(1993 TZ),Apollo Asteroid,57800,2.018,0.5647,4.1521,231.8698,203.3366,29.5328,0.8784,3.16,2.87,0.0054,13,26.0
29,(1993 UA),Apollo Asteroid,57800,2.0105,0.5244,4.648,330.2327,26.8249,49.6347,0.9561,3.06,2.85,0.0027,11,25.4
30,(1994 BB),Amor Asteroid,57800,2.0219,0.4261,1.1415,335.9966,122.6278,17.1605,1.1604,2.88,2.88,0.1776,16,23.5
31,(1994 EU),Apollo Asteroid,49424,1.3739,0.2763,6.4397,145.4355,351.6881,19.9156,0.9943,1.75,1.61,0.03,11,25.9
34,(1994 GL),Aten Asteroid,49451,0.6845,0.5019,3.6319,179.0528,197.223,181.5258,0.3409,1.03,0.57,0.0122,17,24.4
35,(1994 GV),Apollo Asteroid,49456,2.0082,0.5183,0.468,154.0873,19.7517,8.4444,0.9673,3.05,2.85,0.0,11,27.4
37,(1994 TE2),Amor Asteroid,49637,2.2471,0.4415,5.6824,185.0765,198.7892,359.3973,1.255,3.24,3.37,0.2581,11,22.7
42,(1995 FG),Amor Asteroid,57800,1.8494,0.3733,1.9647,36.9458,184.9278,238.2159,1.159,2.54,2.52,0.1527,11,23.0
43,(1995 HM),Amor Asteroid,57800,1.4599,0.2198,3.9886,209.034,45.2968,106.8413,1.139,1.78,1.76,0.1296,11,23.0
44,(1995 LA),Apollo Asteroid,57800,2.1228,0.5215,8.7044,17.5969,247.6307,0.0031,1.0159,3.23,3.09,0.0157,11,24.0
46,(1995 SC1),Amor Asteroid,57800,2.1186,0.475,6.8264,341.5855,357.8603,342.837,1.1123,3.12,3.08,0.1107,15,22.7
47,(1995 UB),Apollo Asteroid,57800,1.3999,0.4121,8.9741,112.541,204.0592,344.7538,0.823,1.98,1.66,0.0033,11,27.3
48,(1996 AP1),Apollo Asteroid,50100,1.9163,0.4955,5.4627,323.8363,118.0232,11.3077,0.9667,2.87,2.65,0.0232,11,24.7
50,(1996 BG1),Aten Asteroid,57800,0.8972,0.2798,3.8306,150.7051,139.496,119.6109,0.6462,1.15,0.85,0.0267,12,23.8
51,(1996 FT1),Apollo Asteroid,50164,1.4569,0.3996,2.7054,93.6886,12.4687,35.9656,0.8747,2.04,1.76,0.0248,12,24.4
52,(1996 GQ),Apollo Asteroid,57800,1.9885,0.4951,0.8851,59.3412,85.2277,177.2406,1.004,2.97,2.8,0.0213,25,23.1
