,Object Name,Object Classification,Epoch (TDB),Orbit Axis (AU),Orbit Eccentricity,Orbit Inclination (deg),Perihelion Argument (deg),Node Longitude (deg),Mean Anomoly (deg),Perihelion Distance (AU),Aphelion Distance (AU),Orbital Period (yr),Minimum Orbit Intersection Distance (AU),Orbital Reference,Asteroid Magnitude,Close-Approach (CA) Date,CA DistanceNominal (au),CA DistanceMinimum (au),V relative(km/s),V infinity(km/s),H(mag),Diameter,Rarity,PHA
0,2007 AG,Aten Asteroid (Hazard),57800.0,0.7203,0.3745,11.9375,5.6403,283.263,0.8821,0.4506,0.99,0.61,0.0041,34.0,20.1,1900-Jan-04 22:25 ±    00:02,0.00963,0.00962,8.69,8.65,20.2,0.55,2.0,True
6,2005 AY28,Aten Asteroid (Hazard),56671.0,0.8722,0.5702,5.8989,155.8246,117.63,257.5917,0.3749,1.37,0.81,0.0358,57.0,21.4,1900-Feb-05 23:42 ± < 00:01,0.03409,0.03409,17.36,17.36,21.6,0.29,1.0,True
7,2006 WX1,Aten Asteroid (Hazard),57800.0,0.9166,0.3002,11.6435,290.9154,328.0151,49.5351,0.6415,1.19,0.88,0.0291,47.0,19.5,1900-Feb-10 05:07 ±    00:02,0.03688,0.0368,10.36,10.35,19.7,0.69,1.0,True
8,2012 SD22,Apollo Asteroid (Hazard),57800.0,1.9643,0.5723,7.8842,313.433,140.4841,183.4651,0.8401,3.09,2.75,0.0161,25.0,20.1,1900-Feb-18 08:31 ±    00:01,0.04032,0.04031,14.35,14.34,20.1,0.57,1.0,True
10,2010 DW1,Apollo Asteroid (Hazard),57800.0,1.225,0.2002,23.7672,9.6193,157.1413,51.1365,0.9798,1.47,1.36,0.008,44.0,19.9,1900-Feb-27 22:51 ± < 00:01,0.04706,0.04706,13.26,13.26,20.0,0.463,1.0,True
12,2007 ED125,Apollo Asteroid (Hazard),57800.0,1.9229,0.5845,3.7682,290.2688,173.4703,279.2956,0.7989,3.05,2.67,0.0088,36.0,21.0,1900-Mar-04 16:04 ± < 00:01,0.01358,0.01358,13.9,13.89,21.0,0.38,2.0,True
15,2011 BN24,Apollo Asteroid (Hazard),57800.0,1.5442,0.4121,3.9354,61.7534,195.7887,330.1135,0.9079,2.18,1.92,0.016,30.0,20.9,1900-Apr-13 07:11 ±    08:26,0.03975,0.03648,10.75,10.75,21.0,0.38,1.0,True
17,2016 JC6,Aten Asteroid (Hazard),57800.0,0.8072,0.2822,6.794,173.995,236.9255,199.4776,0.5794,1.04,0.73,0.0186,34.0,21.3,1900-May-09 13:21 ±    00:02,0.03434,0.03434,5.66,5.65,21.4,0.246,1.0,True
18,2006 GY2,Apollo Asteroid (Hazard),57800.0,1.858,0.4958,30.5634,216.7022,54.3188,77.6222,0.9368,2.78,2.53,0.0074,63.0,18.8,1900-May-12 01:16 ±    00:14,0.04743,0.04727,20.13,20.13,18.9,0.99,1.0,True
20,2014 WG365,Apollo Asteroid (Hazard),57800.0,1.2963,0.3336,25.1183,111.1312,71.3634,84.3954,0.8639,1.73,1.48,0.0122,16.0,19.9,1900-Jun-02 19:20 ±    00:40,0.04653,0.04598,16.42,16.42,20.0,0.59,1.0,True
23,2007 UL12,Apollo Asteroid (Hazard),57800.0,1.9662,0.8059,4.1844,95.6381,67.1413,113.8135,0.3816,3.55,2.76,0.0204,17.0,20.9,1900-Jun-25 20:04 ± < 00:01,0.0269,0.02689,26.72,26.72,21.1,0.36,1.0,True
24,2008 KV2,Aten Asteroid (Hazard),57800.0,0.8497,0.4119,5.0571,347.5215,67.055,257.4508,0.4997,1.2,0.78,0.0436,31.0,21.3,1900-Jun-25 21:59 ± < 00:01,0.04164,0.04164,10.7,10.69,21.3,0.33,1.0,True
25,2007 HE15,Apollo Asteroid (Hazard),57800.0,2.145,0.5401,9.5389,342.2566,297.7422,23.9234,0.9864,3.3,3.14,0.01,37.0,19.7,1900-Jul-24 06:24 ±    00:31,0.01023,0.01018,10.28,10.25,19.7,0.68,3.0,True
26,2011 EL11,Apollo Asteroid (Hazard),57800.0,1.9968,0.69,3.9177,81.1611,314.6557,83.0077,0.6191,3.37,2.82,0.0075,11.0,19.8,1900-Jul-30 02:27 ±    00:13,0.01585,0.01581,20.11,20.1,19.8,0.64,2.0,True
28,2014 SS1,Amor Asteroid (Hazard),57800.0,2.1237,0.5181,1.4786,341.5411,358.3534,284.926,1.0234,3.22,3.09,0.0176,37.0,21.7,1900-Aug-12 21:16 ±    21:29,0.03608,0.0342,7.36,7.35,21.7,0.27,1.0,True
30,2003 ED50,Apollo Asteroid (Hazard),57800.0,1.416,0.5467,33.7327,93.9593,173.5402,60.8833,0.6419,2.19,1.69,0.0258,24.0,20.8,1900-Sep-18 09:15 ±    00:02,0.03101,0.03101,24.16,24.16,20.9,0.4,1.0,True
32,1990 MF,Apollo Asteroid (Hazard),57800.0,1.7464,0.4561,1.8663,114.4013,210.2578,176.1982,0.9498,2.54,2.31,0.0171,56.0,18.7,1900-Sep-27 07:40 ±    00:17,0.04467,0.04458,9.99,9.98,18.9,0.7,1.0,True
33,2015 TX24,Apollo Asteroid (Hazard),57800.0,2.2691,0.8723,6.0445,127.0269,33.0015,125.8527,0.2897,4.25,3.42,0.0104,11.0,21.5,1900-Oct-26 03:17 ± 2_06:12,0.04828,0.01776,32.75,32.75,21.6,0.295,1.0,True
